***
*
*  Exported on: 03.02.2018
*  This data is owned by Butterfly Avionics GmbH and licensed under the CC BY-NC-SA,
*  not to be used for commercial purposes. For more information on commercial licensing visit
*  
*  http://www.openaip.net/commercial-licensing
*  
*  openAIP data is not certified and must not be used for primary navigation or flight planning.
*  NEVER RELY ON OPENAIP DATA. openAIP data contains errors. Using openAIP data may
*  result in serious injury or death, use at your own risk!
*  
*  OPENAIP OFFERS THE WORK AS-IS AND MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND
*  CONCERNING THE WORK, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, WITHOUT LIMITATION,
*  WARRANTIES OF TITLE, MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, OR
*  THE ABSENCE OF LATENT OR OTHER DEFECTS, ACCURACY, OR THE PRESENCE OF ABSENCE OF ERRORS,
*  WHETHER OR NOT DISCOVERABLE. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED
*  WARRANTIES, SO THIS EXCLUSION MAY NOT APPLY TO YOU.
*  
*  EXCEPT TO THE EXTENT REQUIRED BY APPLICABLE LAW, IN NO EVENT WILL OPENAIP BE LIABLE TO YOU ON
*  ANY LEGAL THEORY FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES
*  ARISING OUT OF THIS LICENSE OR THE USE OF THE WORK, EVEN IF OPENAIP HAS BEEN ADVISED OF THE
*  POSSIBILITY OF SUCH DAMAGES.
*
***

**************************
*
* OPENAIP WAYPOINTS EXPORT
*
* VERSION= 1786539
*
**************************
1,18:14:25N,42:39:24E,2090.0M,A,ABHA AIRPORT,118.1|OEAB,
2,25:54:41N,49:35:28E,70.0M,A,ABQAIQ AIRPORT,|OEBQ,
3,27:19:09N,49:35:14E,21.0M,A,ABU ALI AIRPORT,|OEAA,
4,29:47:06N,40:06:00E,689.0M,A,AL-JAWF DOMESTIC AIRPORT,118.9|OESK,
5,25:17:07N,49:29:07E,179.0M,A,AL AHSA AIRPORT,|OEAH,
6,26:36:42N,45:19:19E,579.0M,A,AL ARTAWIYAH SOUTH AIRPORT,|,
7,20:17:46N,41:38:03E,1672.0M,A,AL BAHA AIRPORT,|OEBA,
8,28:53:10N,36:09:32E,723.0M,A,AL BIR HIGHWAY STRIP,|,
9,25:24:23N,49:29:04E,171.0M,A,AL HASA AIRPORT,|,
10,24:03:39N,47:24:39E,448.0M,A,AL KHARJ,|,
11,24:03:05N,47:39:15E,503.0M,A,AL KHARJ EAST AIRPORT,|,
12,20:28:33N,44:45:27E,678.0M,A,AL LIDEM AIRPORT,|,
13,26:11:55N,36:28:35E,20.0M,A,AL WAJH DOMESTIC AIRPORT,|OEWJ,
14,27:38:45N,47:59:35E,181.0M,A,AL WARIAH SE HIGHWAY STRIP,|,
15,30:54:24N,41:08:18E,553.0M,A,ARAR DOMESTIC AIRPORT,|OERR,
16,21:19:25N,41:11:54E,1266.0M,A,ARFA AIRPORT,|,
17,19:59:04N,42:37:15E,1185.0M,A,BISHA AIRPORT,|OEBH,
18,24:30:00N,44:23:60E,1045.0M,A,DAWADMI DOMESTIC AIRPORT,|OEDW,
