***
*
*  Exported on: 03.02.2018
*  This data is owned by Butterfly Avionics GmbH and licensed under the CC BY-NC-SA,
*  not to be used for commercial purposes. For more information on commercial licensing visit
*  
*  http://www.openaip.net/commercial-licensing
*  
*  openAIP data is not certified and must not be used for primary navigation or flight planning.
*  NEVER RELY ON OPENAIP DATA. openAIP data contains errors. Using openAIP data may
*  result in serious injury or death, use at your own risk!
*  
*  OPENAIP OFFERS THE WORK AS-IS AND MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND
*  CONCERNING THE WORK, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, WITHOUT LIMITATION,
*  WARRANTIES OF TITLE, MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, OR
*  THE ABSENCE OF LATENT OR OTHER DEFECTS, ACCURACY, OR THE PRESENCE OF ABSENCE OF ERRORS,
*  WHETHER OR NOT DISCOVERABLE. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED
*  WARRANTIES, SO THIS EXCLUSION MAY NOT APPLY TO YOU.
*  
*  EXCEPT TO THE EXTENT REQUIRED BY APPLICABLE LAW, IN NO EVENT WILL OPENAIP BE LIABLE TO YOU ON
*  ANY LEGAL THEORY FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES
*  ARISING OUT OF THIS LICENSE OR THE USE OF THE WORK, EVEN IF OPENAIP HAS BEEN ADVISED OF THE
*  POSSIBILITY OF SUCH DAMAGES.
*
***

**************************
*
* OPENAIP WAYPOINTS EXPORT
*
* VERSION= 1786539
*
**************************
1,13:14:37N,87:20:29W,13.0M,A,ACENSA AIRPORT,|MHAC,
2,14:35:49N,86:30:27W,168.0M,A,AGROPECUARIA LEPAGUARE AIRPORT,|,
3,13:17:46N,87:20:44W,17.0M,A,AGROPECUARIA PIEDRA DE AGUA AZUL AIRPORT,|MHPI,
4,15:25:40N,86:53:42W,76.0M,A,AGUA CALIENTE AIRPORT,|MHHO,
5,15:28:20N,84:21:08W,30.0M,A,AHUAS AIRPORT,|MHAH,
6,14:35:35N,87:50:26W,326.0M,A,ALAS DEL SOCORRO AIRPORT,|MHAS,
7,13:16:06N,87:39:37W,30.0M,A,AMAPALA AIRPORT,|MHAM,
8,14:00:39N,86:23:21W,143.0M,A,APALA AIRPORT,|MHAP,
9,15:44:07N,84:32:36W,1.0M,A,ARASLAYA AIRPORT,|MHAY,
10,14:17:07N,87:13:45W,267.0M,A,ARCHAGA AIRPORT,|MHAR,
11,14:25:60N,86:05:21W,113.0M,A,ASERRADERO AZACUALPA AIRPORT,|MHAZ,
12,14:39:43N,86:54:54W,296.0M,A,ASERRADERO EL ENCINO AIRPORT,|MHEN,
13,14:56:14N,83:50:39W,58.0M,A,AUCA AIRPORT,|MHUC,
14,14:15:25N,88:23:33W,366.0M,A,AZACUALPA AIRPORT,|MHZA,
15,16:25:59N,86:08:22W,2.0M,A,BARBARETA AIRPORT,|MHBA,
16,15:48:05N,84:17:48W,1.0M,A,BARRA DEL PATUCA AIRPORT,|MHPA,
17,13:52:23N,86:33:38W,232.0M,A,BARRIO EL ATERRIZAJE AIRPORT,|MHEL,
