***
*
*  Exported on: 03.02.2018
*  This data is owned by Butterfly Avionics GmbH and licensed under the CC BY-NC-SA,
*  not to be used for commercial purposes. For more information on commercial licensing visit
*  
*  http://www.openaip.net/commercial-licensing
*  
*  openAIP data is not certified and must not be used for primary navigation or flight planning.
*  NEVER RELY ON OPENAIP DATA. openAIP data contains errors. Using openAIP data may
*  result in serious injury or death, use at your own risk!
*  
*  OPENAIP OFFERS THE WORK AS-IS AND MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND
*  CONCERNING THE WORK, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, WITHOUT LIMITATION,
*  WARRANTIES OF TITLE, MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, OR
*  THE ABSENCE OF LATENT OR OTHER DEFECTS, ACCURACY, OR THE PRESENCE OF ABSENCE OF ERRORS,
*  WHETHER OR NOT DISCOVERABLE. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED
*  WARRANTIES, SO THIS EXCLUSION MAY NOT APPLY TO YOU.
*  
*  EXCEPT TO THE EXTENT REQUIRED BY APPLICABLE LAW, IN NO EVENT WILL OPENAIP BE LIABLE TO YOU ON
*  ANY LEGAL THEORY FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES
*  ARISING OUT OF THIS LICENSE OR THE USE OF THE WORK, EVEN IF OPENAIP HAS BEEN ADVISED OF THE
*  POSSIBILITY OF SUCH DAMAGES.
*
***

**************************
*
* OPENAIP WAYPOINTS EXPORT
*
* VERSION= 1786539
*
**************************
1,31:38:10N,106:25:44W,1190.0M,A,ABRAHAM GONZáLEZ INTERNATIONAL AIRPORT,118.9|MMCS,
2,26:43:38N,113:33:32W,10.0M,A,ABREOJOS AIRPORT,|,
3,26:20:02N,99:32:33W,206.0M,A,AGUALEGUAS AIRPORT,|MMAL,
4,26:18:16N,99:33:01W,206.0M,A,AGUALEGUAS OLD AIRPORT,|,
5,31:15:08N,109:36:29W,1269.0M,A,AGUA PRIETA SOUTH AIRPORT,|,
6,31:14:34N,109:37:30W,1219.0M,A,AGUA PRIETA SOUTHWEST AIRPORT,|,
7,29:48:22N,114:23:48W,3.0M,A,ALFONSINA S AIRSTRIP,|,
8,21:25:10N,104:50:35W,920.0M,A,AMADO NERVO NATIONAL AIRPORT,118.8|MMEP,
9,16:33:49N,93:01:21W,457.0M,A,ANGEL ALBINO CORZO INTERNATIONAL AIRPORT,|MMTG,
10,19:34:29N,99:17:20W,2475.0M,A,ATIZAPAN DE ZARAGOZA AIRPORT,|MMJC,
11,19:44:43N,104:20:13W,894.0M,A,AUTLAN AIRPORT,|MM67,
12,25:48:57N,107:54:29W,301.0M,A,BACUBIRITO AIRPORT,|,
13,28:51:36N,111:58:37W,9.0M,A,BAHIA DE KINO AIRPORT,|,
14,28:58:43N,113:33:40W,10.0M,A,BAHíA DE LOS ÁNGELES AIRPORT,|,
15,15:46:31N,96:15:45W,141.0M,A,BAHíAS DE HUATULCO INTERNATIONAL AIRPORT,118|MMBT,
16,22:56:52N,109:56:13W,140.0M,A,CABO SAN LUCAS INTERNATIONAL AIRPORT,|MMSL,
17,25:39:08N,108:32:17W,28.0M,A,CAMPO CUATRO MILPAS AIRPORT,|,
18,24:39:31N,107:33:07W,13.0M,A,CAMPO GOBIERNO AIRPORT,|,
19,31:00:00N,110:16:01W,1585.0M,A,CANANEA AIRPORT,|MMCA,
20,21:02:11N,86:52:38W,6.0M,A,CANCúN INTERNATIONAL AIRPORT,118.6|MMUN,
21,20:32:46N,100:53:13W,1740.0M,A,CAPTAIN ROGELIO CASTILLO NATIONAL AIRPOR,|MMCY,
22,17:59:49N,92:49:03W,14.0M,A,CARLOS ROVIROSA PéREZ INTERNATIONAL AIRP,118.7|MMVA,
23,25:30:22N,102:12:07W,1371.0M,A,CASA MADERO AIRPORT,|,
24,21:59:02N,98:57:43W,92.0M,A,CEMENTOS MEXICANOS AIRPORT,|,
25,18:30:17N,88:19:36W,12.0M,A,CHETUMAL INTERNATIONAL AIRPORT,118.8|MMCM,
26,20:38:29N,88:26:46W,31.0M,A,CHICHEN ITZA INTERNATIONAL AIRPORT,118.9|MMCT,
27,17:34:26N,99:30:51W,1280.0M,A,CHILPANCINGO AIRPORT,|MMCH,
28,29:19:58N,101:05:56W,430.0M,A,CIUDAD ACUñA NEW INTERNATIONAL AIRPORT,|MMCC,
29,29:19:54N,100:58:52W,296.0M,A,CIUDAD ACUñA OLD AIRPORT,|,
30,27:35:56N,105:06:14W,1300.0M,A,CIUDAD CAMARGO SOUTHEAST AIRPORT,|,
31,25:03:14N,111:36:54W,65.0M,A,CIUDAD CONSTITUCIóN AIRPORT,|MMDA,
32,18:39:13N,91:47:56W,3.0M,A,CIUDAD DEL CARMEN INTERNATIONAL AIRPORT,118.4|MMCE,
33,19:42:31N,103:29:24W,1520.0M,A,CIUDAD GUZMAN AIRPORT,|,
34,22:44:36N,99:01:03W,104.0M,A,CIUDAD MANTE NATIONAL AIRPORT,|MMDM,
35,27:23:33N,109:49:59W,74.0M,A,CIUDAD OBREGóN INTERNATIONAL AIRPORT,118.3|MMCN,
36,17:52:48N,92:28:33W,6.0M,A,CIUDAD PEMEX AIRPORT,|,
37,18:41:05N,103:40:34W,61.0M,A,COAHUAYANA AIRPORT,|,
38,19:16:37N,103:34:37W,752.0M,A,COLIMA AIRPORT,118.9|MMIA,
39,16:10:36N,92:03:02W,1573.0M,A,COMITAN AIRPORT,|MMCO,
40,18:52:27N,96:57:30W,914.0M,A,CORDOBA AIRPORT,|,
41,24:25:14N,106:42:07W,76.0M,A,COSALA AIRPORT,|,
42,20:31:21N,86:55:32W,5.0M,A,COZUMEL INTERNATIONAL AIRPORT,118.1|MMCZ,
43,26:59:25N,102:01:59W,747.0M,A,CUATRO CIENEGAS NEW AIRPORT,|,
44,24:45:52N,107:28:30W,33.0M,A,CULIACAN INTERNATIONAL AIRPORT,118.5|MMCL,
45,21:09:21N,88:10:22W,17.0M,A,CUPUL AIRPORT,|,
46,25:51:56N,100:14:13W,450.0M,A,DEL NORTE INTERNATIONAL AIRPORT,118.6|MMAN,
47,20:31:18N,103:18:40W,1529.0M,A,DON MIGUEL HIDALGO Y COSTILLA INTERNATIO,118.1|MMGL,
48,24:07:27N,104:31:41W,1860.0M,A,DURANGO INTERNATIONAL AIRPORT,118.1|MMDO,
49,27:24:26N,109:55:41W,35.0M,A,EL CRUCERO AIRPORT,|,
50,26:23:54N,108:36:43W,75.0M,A,EL FUERTE AIRPORT,|,
51,31:47:43N,116:36:11W,20.0M,A,ENSENADA AIRPORT,119.75|MMES,
52,26:31:16N,99:08:55W,46.0M,A,FALCON DAM AIRPORT,|,
53,20:56:48N,97:22:30W,3.0M,A,FAUSTO VEGA SANTANDER AIRPORT,|,
54,32:32:28N,116:58:12W,149.0M,A,GENERAL ABELARDO L. RODRíGUEZ INTERNATIO,118.1|MMTJ,
55,22:17:47N,97:51:57W,24.0M,A,GENERAL FRANCISCO JAVIER MINA INTERNATIO,118.3|MMTM,
56,19:50:60N,101:01:30W,1839.0M,A,GENERAL FRANCISCO J MUJICA INTERNATIONAL,|MMMM,
57,19:08:45N,96:11:14W,27.0M,A,GENERAL HERIBERTO JARA INTERNATIONAL AIR,118.500|MMVR,
58,29:05:45N,111:02:53W,191.0M,A,GENERAL IGNACIO P GARCIA INTERNATIONAL A,118.7|MMHO,
59,27:58:08N,110:55:30W,18.0M,A,GENERAL JOSé MARíA YáñEZ INTERNATIONAL A,118.6|MMGM,
60,16:45:26N,99:45:14W,5.0M,A,GENERAL JUAN N ALVAREZ INTERNATIONAL AIR,118.5|MMAA,
61,22:53:50N,102:41:13W,2177.0M,A,GENERAL LEOBARDO C RUIZ INTERNATIONAL AI,118|MMZC,
62,26:00:32N,98:13:43W,42.0M,A,GENERAL LUCIO BLANCO INTERNATIONAL AIRPO,|MMRX,
63,24:04:22N,110:21:43W,21.0M,A,GENERAL MANUEL MARQUEZ DE LEON INTERNATI,118.1|MMLP,
64,25:46:43N,100:06:25W,390.0M,A,GENERAL MARIANO ESCOBEDO INTERNATIONAL A,118.1|MMMY,
65,18:50:05N,99:15:41W,1304.0M,A,GENERAL MARIANO MATAMOROS AIRPORT,118.35|MMCB,
66,23:42:12N,98:57:23W,232.0M,A,GENERAL PEDRO JOSE MENDEZ INTERNATIONAL ,118.2|MMCV,
67,23:09:41N,106:15:58W,12.0M,A,GENERAL RAFAEL BUELNA INTERNATIONAL AIRP,118.3|MMMZ,
68,28:42:10N,105:57:54W,1360.0M,A,GENERAL R FIERRO VILLALOBOS INTERNATIONA,118.4|MMCU,
69,32:37:50N,115:14:31W,23.0M,A,GENERAL RODOLFO SANCHEZ TABOADA INTERNAT,118.2|MMML,
