***
*
*  Exported on: 03.02.2018
*  This data is owned by Butterfly Avionics GmbH and licensed under the CC BY-NC-SA,
*  not to be used for commercial purposes. For more information on commercial licensing visit
*  
*  http://www.openaip.net/commercial-licensing
*  
*  openAIP data is not certified and must not be used for primary navigation or flight planning.
*  NEVER RELY ON OPENAIP DATA. openAIP data contains errors. Using openAIP data may
*  result in serious injury or death, use at your own risk!
*  
*  OPENAIP OFFERS THE WORK AS-IS AND MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND
*  CONCERNING THE WORK, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, WITHOUT LIMITATION,
*  WARRANTIES OF TITLE, MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, OR
*  THE ABSENCE OF LATENT OR OTHER DEFECTS, ACCURACY, OR THE PRESENCE OF ABSENCE OF ERRORS,
*  WHETHER OR NOT DISCOVERABLE. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED
*  WARRANTIES, SO THIS EXCLUSION MAY NOT APPLY TO YOU.
*  
*  EXCEPT TO THE EXTENT REQUIRED BY APPLICABLE LAW, IN NO EVENT WILL OPENAIP BE LIABLE TO YOU ON
*  ANY LEGAL THEORY FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES
*  ARISING OUT OF THIS LICENSE OR THE USE OF THE WORK, EVEN IF OPENAIP HAS BEEN ADVISED OF THE
*  POSSIBILITY OF SUCH DAMAGES.
*
***

**************************
*
* OPENAIP WAYPOINTS EXPORT
*
* VERSION= 1786539
*
**************************
1,24:29:39N,72:46:53E,267.0M,A,ABU ROAD AIRPORT,|,
2,31:26:02N,75:45:32E,236.0M,A,ADAMPUR AIR FORCE STATION,|VIAX,
3,23:53:13N,91:14:25E,14.0M,A,AGARTALA AIRPORT,123.5|VEAT,
4,10:49:25N,72:10:34E,4.0M,A,AGATTI AIRPORT,|VOAT,
5,27:09:21N,77:57:39E,168.0M,A,AGRA AIRPORT,122.3|VIAG,
6,23:04:38N,72:38:05E,58.0M,A,AHMEDABAD AIRPORT,118.1|VAAH,
7,23:44:48N,92:48:10E,305.0M,A,AIZAWL AIRPORT,122.3|VEAZ,
8,26:26:51N,82:34:06E,88.0M,A,AKBARPUR AIRPORT,|,
9,20:41:56N,77:03:31E,304.0M,A,AKOLA AIRPORT,|VAAK,
10,25:26:24N,81:44:02E,98.0M,A,ALLAHABAD AIRPORT,122.7|VIAL,
11,28:10:31N,94:48:07E,274.0M,A,ALONG AIRPORT,|VEAN,
12,30:22:05N,76:49:00E,277.0M,A,AMBALA AIR FORCE STATION,|VIAM,
13,21:55:35N,78:06:49E,742.0M,A,AMLA AIRPORT,|,
14,21:37:12N,71:13:24E,133.0M,A,AMRELI,|,
15,31:42:35N,74:47:50E,230.0M,A,AMRITSAR AIR FORCE STATION,124.35|VIAR,
16,13:04:16N,79:41:28E,81.0M,A,ARKONAM AIRPORT,|VOAR,
17,19:51:46N,75:23:53E,582.0M,A,AURANGABAD AIRPORT,122.3|VAAU,
18,33:52:36N,74:58:33E,1644.0M,A,AWANTIPUR AIR FORCE STATION,|VIAW,
19,26:40:52N,88:19:43E,126.0M,A,BAGDOGRA AIRPORT,123.5|VEBD,
20,26:59:18N,80:53:35E,117.0M,A,BAKSHI KA TALAB AIR FORCE STATION,|VIBL,
21,25:39:41N,90:20:42E,537.0M,A,BALJEK AIRPORT,|,
22,25:15:42N,88:47:44E,24.0M,A,BALURGHAT AIRPORT,|VEBG,
23,26:00:00N,78:15:42E,241.0M,A,BAND TAL AIRPORT,|,
24,23:35:23N,74:18:46E,213.0M,A,BANSWARA AIRPORT,|,
25,28:25:20N,79:27:03E,177.0M,A,BAREILLY AIR FORCE STATION,123.5|VIBY,
26,22:46:52N,88:21:33E,5.0M,A,BARRACKPORE AIR FORCE STATION,|VEPI,
27,17:27:11N,78:28:03E,531.0M,A,BEGUMPET AIRPORT,122.25|VOHY,
28,22:30:15N,88:17:36E,3.0M,A,BEHALA AIRPORT,|VEBA,
29,15:51:33N,74:37:06E,758.0M,A,BELGAUM AIRPORT,123.5|VABM,
30,15:09:46N,76:52:58E,9.0M,A,BELLARY AIRPORT,|VOBI,
31,13:11:52N,77:42:23E,901.0M,A,BENGALURU INTERNATIONAL AIRPORT,|VOBL,
32,23:05:42N,75:53:07E,508.0M,A,BENTAYAN AIRPORT,|,
33,30:34:58N,78:19:24E,909.0M,A,BHARKOT AIRPORT,|,
34,30:16:12N,74:45:21E,202.0M,A,BHATINDA AIR FORCE STATION,|VIBT,
35,21:45:08N,72:11:07E,13.0M,A,BHAVNAGAR AIRPORT,120.8|VABV,
36,21:17:39N,81:22:46E,309.0M,A,BHILAI AIRPORT,|,
37,28:04:38N,76:12:18E,291.0M,A,BHILWARA AIRPORT,|,
38,28:50:13N,76:10:45E,219.0M,A,BHIWANI AIRPORT,|VIBW,
39,23:17:15N,77:20:15E,524.0M,A,BHOPAL AIRPORT,124.3|VABP,
40,20:14:40N,85:49:04E,42.0M,A,BHUBANESHWAR AIRPORT,125.15|VEBS,
41,23:17:16N,69:40:13E,82.0M,A,BHUJ AIRPORT,123.5|VABJ,
42,17:54:29N,77:29:14E,664.0M,A,BIDAR AIR FORCE STATION,|VOBR,
43,21:59:18N,82:06:40E,274.0M,A,BILASPUR AIRPORT,|VABI,
44,23:26:49N,75:25:13E,470.0M,A,BIRLAGRAM AIRPORT,|,
45,23:18:51N,85:19:18E,655.0M,A,BIRSA MUNDA AIRPORT,122.3|VERC,
46,23:38:37N,86:08:56E,218.0M,A,BOKARO AIRPORT,|VEBK,
47,23:14:07N,81:30:13E,457.0M,A,BURHAR AIRPORT,|,
48,23:37:53N,86:58:32E,94.0M,A,BURNPUR AIRPORT,|,
49,11:08:12N,75:57:19E,104.0M,A,CALICUT AIRPORT,123.35|VOCL,
50,07:00:47N,93:55:22E,5.0M,A,CAMPBELL BAY AIRPORT,|,
51,09:09:09N,92:49:11E,2.0M,A,CAR NICOBAR AIR FORCE STATION,122.5|VOCX,
52,27:27:44N,95:07:04E,112.0M,A,CHABUA AIR FORCE STATION,|VECA,
53,26:24:15N,80:24:36E,123.0M,A,CHAKERI AIR FORCE STATION,123.5|VICX,
54,22:27:38N,86:42:28E,131.0M,A,CHAKULIA AIRPORT,|VECK,
55,19:59:41N,79:13:21E,191.0M,A,CHANDA AIRPORT,|,
56,30:40:25N,76:47:19E,308.0M,A,CHANDIGARH AIRPORT,123.5|VICG,
57,12:59:24N,80:10:09E,16.0M,A,CHENNAI INTERNATIONAL AIRPORT,118.1|VOMM,
58,19:05:19N,72:52:04E,11.0M,A,CHHATRAPATI SHIVAJI INTERNATIONAL AIRPOR,118.1|VABB,
59,24:30:12N,81:13:13E,305.0M,A,CHORHATA AIRPORT,|,
60,10:09:07N,76:24:07E,9.0M,A,COCHIN INTERNATIONAL AIRPORT,118.8|VOCI,
61,11:00:49N,77:09:35E,381.0M,A,COIMBATORE AIR FORCE STATION,|VOSX,
62,11:01:48N,77:02:36E,404.0M,A,COIMBATORE AIRPORT,122.3|VOCB,
63,14:30:36N,78:46:22E,131.0M,A,CUDDAPAH AIRPORT,122.3|VOCP,
64,20:32:59N,85:53:11E,35.0M,A,CUTTACK AIRPORT,|,
65,15:22:51N,73:49:53E,56.0M,A,DABOLIM AIRPORT,118.1|VAGO,
66,24:01:09N,84:05:42E,245.0M,A,DALTONGANJ AIRPORT,|,
67,20:26:04N,72:50:36E,10.0M,A,DAMAN AIRPORT,|VADN,
68,27:59:08N,94:13:22E,229.0M,A,DAPORIJO AIRPORT,|VEDZ,
69,26:11:34N,85:55:01E,48.0M,A,DARBHANGA AIRPORT,|,
70,35:23:47N,77:55:44E,4938.0M,A,DAULAT BEG OLDI ADVANCED LANDING GROUND,|,
71,24:16:04N,72:12:16E,148.0M,A,DEESA AIRPORT,|VADS,
72,30:11:23N,78:10:49E,558.0M,A,DEHRADUN AIRPORT,122.3|VIDN,
73,22:43:18N,75:48:04E,564.0M,A,DEVI AHILYABAI HOLKAR AIRPORT,122.8|VAID,
